Aircraft.Category,AverageFatalInjuries
Unknown,1.1428571428571428
WSFT,1.1111111111111112
Rocket,1.0
Airplane,0.6555292000654344
Helicopter,0.5825688073394495
Ultralight,0.4166666666666667
Weight-Shift,0.4161490683229814
Gyrocraft,0.2875816993464052
Glider,0.23515439429928742
Balloon,0.22395833333333334
Powered Parachute,0.16483516483516483
Blimp,0.0
UNK,0.0
Powered-Lift,0.0
ULTR,0.0
